1907,CODA,Coronation Dynamic Protector Fund A,20100630,16.5,9.05,33.46,0.00,0.71,7.44,32.81,0,0,0,0
14,CORG,Coronation Equity Fund R,20100630,28.71,14.87,53.26,0.00,1.65,0,1.5,0,0,0,0
14,CORA,Coronation Equity Fund A,20100630,28.71,14.87,53.26,0.00,1.65,0,1.5,0,0,0,0
185,CNFG,Coronation Financial Fund A,20100630,0,91.14,1.7,0.00,6.06,0,1.09,0,0,0,0
2087,CGEM,Coronation Global Emerging Markets Flexible Fund ,20100630,0,0,10.62,0.00,0,0,0.42,87.03,0,0,1.92
2266,COGM,Coronation Global Managed Fund A,20100630,0,0,0,0.00,0,0,1.91,82.46,1.18,0,14.42
370,CIMF,Coronation Income Fund ,20100630,0,0,0,0.00,0,55.2,44.79,0,0,0,0
186,CNCG,Coronation Industrial Fund ,20100630,5.73,1.99,91.22,0.00,0,0,1.04,0,0,0,0
2162,COLA,Coronation Latitude (ZAR) Fund A,20100630,0,0,0,0.00,2.33,0,-0.23,57.2,4.68,0,36.01
753,CMPF,Coronation Market Plus Fund A,20100630,12.9,7.7,37,0.00,6.48,24.91,1.23,17.31,1.46,0,0.22
327,CMMF,Coronation Money Market Fund ,20100630,0,0,0,0.00,0,21.06,78.93,0,0,0,0
2280,COICA,Coronation Optimal Income Fund A,20100630,21.72,14.32,46.48,0.00,1.04,23.2,15.68,0,0,0,0
298,CNOG,Coronation Optimum Growth Fund A,20100630,0,6.04,8.92,0.00,0,0,1.65,83.4,1.59,0,4.42
1769,CPSA,Coronation Preference Share Fund A,20100630,0,0,99.08,0.00,0,96.89,0.92,0,0,0,0
706,CPEF,Coronation Property Equity Fund A,20100630,0,-0.01,2.65,0.00,94.41,0,2.92,0,0,0,0.01
325,CCGF,Coronation Resources Fund A,20100630,74.15,3,2.53,0.00,0,0,1.37,18.22,0,0,0.73
1397,SCPF,Coronation SA Capital Plus Fund A,20100630,9.55,4.5,33.89,0.00,5.03,44.77,5.28,0,0,0,0
134,COSG,Coronation Smaller Companies Fund R,20100630,8.45,5.53,67.92,2.47,1.91,0,13.71,0,0,0,0
765,CSIF,Coronation Strategic Income Fund A,20100630,0,0,4.45,0.00,4.46,71.86,18.86,0,4.81,0,0
668,CNTF,Coronation Top 20 Fund A,20100630,31.22,17.28,50.93,0.00,0,0,0.56,0,0,0,0
140,CNIG,Coronation World Equity (ZAR) Fund of Funds A,20100630,0,0,1.05,0.00,0,0,2.19,96.53,0,0,0.21
1596,DBXEU,db x-trackers DJ Eurostoxx 50 Index ETF ,20100630,0,0,0,0.00,0,0,0,100,0,0,0
1595,DBXUK,db x-trackers FTSE 100 Index ETF ,20100630,0,0,0,0.00,0,0,0,99.99,0,0,0
2112,DBXJP,db x-trackers MSCI Japan Index ETF ,20100630,0,0,0,0.00,0,0,0,100,0,0,0
2118,DBXUS,db x-trackers MSCI USA Index ETF ,20100630,0,0,0,0.00,0,0,0,100,0,0,0
2119,DBXWD,db x-trackers MSCI World Index ETF ,20100630,0,0,0,0.00,0,0,0,100,0,0,0
1538,MDCF,Dinamika Conservative Fund of Funds ,20100630,6.33,3.71,11.89,0.02,10.81,19.31,34.71,9.21,3.02,0,1.95
2039,DARF,Discovery Absolute Return Fund ,20100630,1.24,4.87,0.63,0.00,0,4.37,90.83,0,0,0,0
2040,DBFD,Discovery Balanced Fund A,20100630,11.19,16.05,19.82,0.00,4.64,18.57,11.99,17.72,0,0,0
2041,DDIF,Discovery Diversified Income Fund ,20100630,0,0,0,0.00,3.97,66.2,29.82,0,0,0,0
2042,DIEF,Discovery Equity Fund A,20100630,26.92,9.31,44.61,0.00,3.93,0,2.02,9.73,0,0,0.47
2043,DFPF,Discovery Flexible Property Fund A,20100630,0,0,0,0.00,85.1,0,9.86,4.99,0,0,0.03
2044,DGBF,Discovery Global Balanced Fund of Funds ,20100630,0,0,0,0.00,0,0,1.65,63.59,30.96,0,3.78
2052,DGEF,Discovery Global Equity Feeder Fund ,20100630,0,0,0,0.00,0,0,0.9,99.09,0,0,0
2045,DMMF,Discovery Money Market Fund ,20100630,0,0,0,0.00,0,0,99.99,0,0,0,0
2053,DTR10,Discovery Target Retirement 2010 Fund ,20100630,9.97,10.31,12.6,0.00,0,32.93,19.17,4.67,0,0,15.14
2054,DTR15,Discovery Target Retirement 2015 Fund ,20100630,9.59,11.38,14.37,0.00,0,32.91,18.31,5.25,0,0,13.53
2055,DTR20,Discovery Target Retirement 2020 Fund ,20100630,11.16,11.12,15.29,0.00,0,27.66,21.92,4.25,0,0,13.3
2056,DTR25,Discovery Target Retirement 2025 Fund ,20100630,14.21,13.23,17.42,0.00,0,27.83,14.09,4.35,0,0,14.31
2057,DTR30,Discovery Target Retirement 2030 Fund ,20100630,15.66,13.52,17.82,0.00,0,24.53,14.9,5.15,0,0,13.83
2058,DTR35,Discovery Target Retirement 2035 Fund ,20100630,18.49,14,18.74,0.00,0,23.49,10.13,5.08,0,0,15.01
2059,DTR40,Discovery Target Retirement 2040 Fund ,20100630,22.07,14.97,24.66,0.00,0,18.34,3.95,4.85,0,0,15.63
2212,MDCA,Dotport Cautious Fund of Funds ,20100630,6.72,4.07,11.79,0.08,4.28,9.87,54.59,3.19,1.12,0,3.67
1539,MDDF,Dotport Dynamic Flexible Fund of Funds ,20100630,16.52,12.34,25.5,0.06,9.92,2.75,18.07,12.32,0.99,0,1.72
1540,MDSP,Dotport Stable Prudential Fund of Funds ,20100630,12.9,7.47,22.9,0.09,7.64,4.91,29.56,7.06,2.48,0,3.93
1566,MDWA,Dynamic Wealth Accumulator Fund of Funds A,20100630,20.26,10.06,23.61,0.00,10.24,10.78,10.79,12.29,0,0,2.76
1566,DWAA,Dynamic Wealth Accumulator Fund of Funds A1,20100630,20.26,10.06,23.61,0.00,10.24,10.78,10.79,12.29,0,0,2.76
1605,MDWC,Dynamic Wealth Creator Fund of Funds A,20100630,23.78,11.96,27.56,0.00,9.04,4.45,8.57,12.53,0,0,2.73
1605,MWCA,Dynamic Wealth Creator Fund of Funds A1,20100630,23.78,11.96,27.56,0.00,9.04,4.45,8.57,12.53,0,0,2.73
1690,MDWO,Dynamic Wealth Optimal Fund A,20100630,35.53,17.98,41.06,0.00,0.45,0.44,5.25,0,0,0,0
1690,MWOA,Dynamic Wealth Optimal Fund A1,20100630,35.53,17.98,41.06,0.00,0.45,0.44,5.25,0,0,0,0
1521,DWFF,Dynamic Wealth Preserver Fund of Funds A,20100630,14,6.75,16.55,0.00,11.16,19.01,19.44,11.38,0,0,2.69
1521,DWFA,Dynamic Wealth Preserver Fund of Funds A1,20100630,14,6.75,16.55,0.00,11.16,19.01,19.44,11.38,0,0,2.69
1522,DWPF,Dynamic Wealth Property Fund A,20100630,0,0,0,0.00,98.3,0,1.69,0,0,0,0
1522,DWPA,Dynamic Wealth Property Fund A1,20100630,0,0,0,0.00,98.3,0,1.69,0,0,0,0
1869,MDWR,Dynamic Wealth Real Income Fund A,20100630,3.86,0.97,5.54,0.00,7.58,54.72,29.5,0,0,0,0
1869,MWRA,Dynamic Wealth Real Income Fund A1,20100630,3.86,0.97,5.54,0.00,7.58,54.72,29.5,0,0,0,0
1870,MDWV,Dynamic Wealth Value Fund A,20100630,16.6,33.43,44.5,0.00,0,0,5.47,0,0,0,0
1476,EFOF,Efficient Flexible Fund of Funds A,20100630,22.52,10.22,22.82,0.05,22.02,0,13.76,7.47,0,0,1.34
1971,EFMM,Efficient Money Market Fund ,20100630,0,0,0,0.00,0,0,100,0,0,0,0
1478,EFFP,Efficient Prudential Fund A,20100630,16.3,12.94,28.71,0.00,9.78,0,32.13,0,0,0,0
